form,control,ctype,text,align,dock,anchor,match,port_hint,status,notes
AliasSectionEditor,LpMain,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
AliasSectionEditor,LpActions,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
AliasSectionEditor,BtSave,?,"""Save""",,,System.Windows.Forms.AnchorStyles.Left,strong,vaultkeeper/ui/dialogs/wizard_builder.py,AUTO-PORTED,
AliasSectionEditor,BtCancel,?,"""Cancel""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
AliasSectionEditor,MiStatus,?,"""Information""",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
AliasSectionEditor,BtDelete,?,"""Delete""",,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
AliasSectionEditor,LpMainHdg,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
AliasSectionEditor,PicAliasEditor,?,,,System.Windows.Forms.DockStyle.Fill,,none,,GAP?,
AliasSectionEditor,LbAliasEditor,?,"resources.GetString(""LbAliasEditor.Text"")",,,"CType((System.Windows.Forms.AnchorStyles.Left Or System.Windows.Forms.AnchorStyles.Right), System.Windows.Forms.AnchorStyles)",none,,GAP?,
AliasSectionEditor,BhAliasEditor,?,,,,System.Windows.Forms.AnchorStyles.Left,none,,GAP?,
AliasSectionEditor,SplitterLine1,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
AliasSectionEditor,LvFolders,?,,,System.Windows.Forms.DockStyle.Fill,,strong,vaultkeeper/ui/dialogs/installation_analyser.py,AUTO-PORTED,
AliasSectionEditor,ChAlias,?,"""Alias""",,,,none,,GAP?,
AliasSectionEditor,ColumnHeaderPlus1,?,"""Folder Location""",,,,none,,GAP?,
AliasSectionEditor,SplitterLine2,?,,,System.Windows.Forms.DockStyle.Top,,none,,GAP?,
AliasSectionEditor,CmEdit,?,"""Edit""",,,,none,,GAP?,
AliasSectionEditor,CmUndo,?,"""Undo""",,,,none,,GAP?,
