file,type,member,kind,handles,vb_ref,match,port_hint,status,notes
AliasSectionEditor.vb,AliasSectionEditor,AliasSectionEditor_Load,Sub,MyBase.Load,AliasSectionEditor.vb:61,none,,Ported,"Alias section editor ported (bounded): game/nwn_folders.read_alias_section/write_alias_section (targeted [Alias] writer + nwn.ini.bak backup) + controller.alias_locations_report/save_alias_locations + ui/dialogs/alias_section_editor.py (view/edit + config-isolation confirm), wired MsAliasSection; re-opens the profile on change (VB Restart)."
AliasSectionEditor.vb,AliasSectionEditor,AliasSectionEditor_Shown,Sub,Me.Shown,AliasSectionEditor.vb:148,none,,Divergence,AliasSectionEditor WinForms lifecycle / virtual-list / context-menu plumbing (no port equivalent).
AliasSectionEditor.vb,AliasSectionEditor,BhAliasEditor_Click,Sub,BhAliasEditor.Click,AliasSectionEditor.vb:159,none,,Ported,"Alias section editor ported (bounded): game/nwn_folders.read_alias_section/write_alias_section (targeted [Alias] writer + nwn.ini.bak backup) + controller.alias_locations_report/save_alias_locations + ui/dialogs/alias_section_editor.py (view/edit + config-isolation confirm), wired MsAliasSection; re-opens the profile on change (VB Restart)."
AliasSectionEditor.vb,AliasSectionEditor,BtDelete_Click,Sub,BtDelete.Click,AliasSectionEditor.vb:168,none,,Partial,"WizardBuilder transfer/display + GameManager archive/restore/activate/deactivate/delete actions (core ported, VB wiring divergent)."
AliasSectionEditor.vb,AliasSectionEditor,BtSave_Click,Sub,BtSave.Click,AliasSectionEditor.vb:235,strong,vaultkeeper/ui/controller.py,Ported,DocOrganiser/ModPlayViewer/WizardBuilder core report/view/save logic (subagent+orchestrator).
AliasSectionEditor.vb,AliasSectionEditor,BtCancel_Click,Sub,BtCancel.Click,AliasSectionEditor.vb:287,none,,Divergence,WinForms event/progress/UI plumbing refactored into controller/vault + bounded viewer (search/copy-paste/nav). Owner-confirm candidates: StartScreen export/copy-paste/search.
AliasSectionEditor.vb,AliasSectionEditor,LvFolders_ItemClicked,Sub,LvFolders.ItemClicked,AliasSectionEditor.vb:298,none,,Divergence,AliasSectionEditor WinForms lifecycle / virtual-list / context-menu plumbing (no port equivalent).
AliasSectionEditor.vb,AliasSectionEditor,LvFolders_SelectedIndexChanged,Sub,LvFolders.SelectedIndexChanged,AliasSectionEditor.vb:326,none,,Ported,install engine + rename + analyser browser report (subagent-swept).
AliasSectionEditor.vb,AliasSectionEditor,CmMenuItem_Click,Sub,"CmEdit.Click, CmUndo.Click",AliasSectionEditor.vb:341,none,,Divergence,AliasSectionEditor WinForms lifecycle / virtual-list / context-menu plumbing (no port equivalent).
ApplicationEvents.vb,MyApplication,MyApplication_Startup,Sub,Me.Startup,ApplicationEvents.vb:28,none,,Divergence,WinForms app-lifecycle/exception + dialog events + ListView map/web editors + bg-worker + colour constants + Windows taskbar.
ApplicationEvents.vb,MyApplication,MyApplication_UnhandledException,Sub,Me.UnhandledException,ApplicationEvents.vb:65,none,,Divergence,WinForms app-lifecycle/exception + dialog events + ListView map/web editors + bg-worker + colour constants + Windows taskbar.
ApplicationEvents.vb,MyApplication,MyApplication_StartupNextInstance,Sub,Me.StartupNextInstance,ApplicationEvents.vb:196,none,,Divergence,WinForms app-lifecycle/exception + dialog events + ListView map/web editors + bg-worker + colour constants + Windows taskbar.
ApplicationEvents.vb,MyApplication,MyApplication_Shutdown,Sub,Me.Shutdown,ApplicationEvents.vb:219,none,,Divergence,WinForms app-lifecycle/exception + dialog events + ListView map/web editors + bg-worker + colour constants + Windows taskbar.
