file,type,member,kind,handles,vb_ref,match,port_hint,status,notes
AliasSectionEditor.vb,AliasSectionEditor,AliasSectionEditor_Load,Sub,MyBase.Load,AliasSectionEditor.vb:61,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,AliasSectionEditor_Shown,Sub,Me.Shown,AliasSectionEditor.vb:148,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,BhAliasEditor_Click,Sub,BhAliasEditor.Click,AliasSectionEditor.vb:159,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,BtDelete_Click,Sub,BtDelete.Click,AliasSectionEditor.vb:168,none,,Partial,"WizardBuilder transfer/display + GameManager archive/restore/activate/deactivate/delete actions (core ported, VB wiring divergent)."
AliasSectionEditor.vb,AliasSectionEditor,RestoreDefaults,Sub,,AliasSectionEditor.vb:192,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,BtSave_Click,Sub,BtSave.Click,AliasSectionEditor.vb:235,strong,vaultkeeper/ui/controller.py,Ported,DocOrganiser/ModPlayViewer/WizardBuilder core report/view/save logic (subagent+orchestrator).
AliasSectionEditor.vb,AliasSectionEditor,BtCancel_Click,Sub,BtCancel.Click,AliasSectionEditor.vb:287,none,,Divergence,WinForms event/progress/UI plumbing refactored into controller/vault + bounded viewer (search/copy-paste/nav). Owner-confirm candidates: StartScreen export/copy-paste/search.
AliasSectionEditor.vb,AliasSectionEditor,LvFolders_ItemClicked,Sub,LvFolders.ItemClicked,AliasSectionEditor.vb:298,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
AliasSectionEditor.vb,AliasSectionEditor,LvFolders_SelectedIndexChanged,Sub,LvFolders.SelectedIndexChanged,AliasSectionEditor.vb:326,none,,Ported,install engine + rename + analyser browser report (subagent-swept).
AliasSectionEditor.vb,AliasSectionEditor,CmMenuItem_Click,Sub,"CmEdit.Click, CmUndo.Click",AliasSectionEditor.vb:341,none,,Deferred,"CrashDumpManager (Windows crash dumps), AliasSectionEditor (MsAliasSection dead), HakPatchEditor (MsHakPatchEditor dead; read-only model ported), ExtendedEditionDialogue (EE user-folder prompt; editions detection ported in editions.py/locations.py)."
